epoch,accuracy,loss,val_accuracy,val_loss
0,0.8181458115577698,0.5189921259880066,0.8535833358764648,0.41623595356941223
1,0.859083354473114,0.391059935092926,0.8619166612625122,0.3767445385456085
2,0.8732083439826965,0.34754878282546997,0.8674166798591614,0.37464380264282227
3,0.882895827293396,0.3214208483695984,0.8790833353996277,0.34147095680236816
4,0.890500009059906,0.2997414171695709,0.8702499866485596,0.3584628403186798
5,0.8945624828338623,0.28477054834365845,0.8834999799728394,0.3319004476070404
6,0.8976666927337646,0.2730228304862976,0.8862500190734863,0.3177977204322815
7,0.9020208120346069,0.26159754395484924,0.8805000185966492,0.3436846137046814
8,0.9067916870117188,0.2506421208381653,0.8884999752044678,0.32023775577545166
9,0.9092291593551636,0.24343721568584442,0.8888333439826965,0.3158932626247406
